param, dataset_number, both, eng, snum, wrong, correct_rate, score, weighted_eng, weighted_snum
1,1,6,14,28,312,13.33,1412,0.33,0.67
1,2,155,312,105,419,57.72,45576,0.75,0.25
1,3,1,22,16,139,21.91,3949,0.58,0.42
50937
2,1,9,16,15,320,11.11,1178,0.52,0.48
2,2,54,375,44,518,47.73,42224,0.89,0.11
2,3,0,23,1,154,13.48,4028,0.96,0.04
47430
3,1,2,20,10,328,8.89,853,0.67,0.33
3,2,20,384,24,563,43.19,40539,0.94,0.06
3,3,1,22,2,153,14.04,3967,0.92,0.08
45359
4,1,2,20,10,328,8.89,853,0.67,0.33
4,2,20,384,24,563,43.19,40539,0.94,0.06
4,3,1,22,2,153,14.04,3967,0.92,0.08
45359
5,1,4,21,12,323,10.28,1047,0.64,0.36
5,2,29,331,39,592,40.26,34218,0.89,0.11
5,3,1,15,4,158,11.24,2582,0.79,0.21
37847
6,1,4,21,12,323,10.28,1047,0.64,0.36
6,2,29,331,39,592,40.26,34218,0.89,0.11
6,3,1,15,4,158,11.24,2582,0.79,0.21
37847
7,1,5,17,18,320,11.11,1087,0.49,0.51
7,2,47,268,57,619,37.54,28760,0.82,0.18
7,3,0,11,6,161,9.55,1758,0.65,0.35
31605
8,1,5,17,18,320,11.11,1087,0.49,0.51
8,2,47,268,57,619,37.54,28760,0.82,0.18
8,3,0,11,6,161,9.55,1758,0.65,0.35
31605
9,1,3,17,13,327,9.17,898,0.57,0.43
9,2,50,240,79,622,37.24,25618,0.75,0.25
9,3,0,2,7,169,5.06,1099,0.22,0.78
27615
10,1,3,17,13,327,9.17,898,0.57,0.43
10,2,50,240,79,622,37.24,25618,0.75,0.25
10,3,0,2,7,169,5.06,1099,0.22,0.78
27615
11,1,3,20,9,328,8.89,895,0.69,0.31
11,2,46,222,91,632,36.23,23858,0.71,0.29
11,3,0,2,6,170,4.49,1004,0.25,0.75
25757
12,1,3,20,9,328,8.89,895,0.69,0.31
12,2,46,222,91,632,36.23,23858,0.71,0.29
12,3,0,2,6,170,4.49,1004,0.25,0.75
25757
13,1,3,20,15,322,10.56,959,0.57,0.43
13,2,41,189,113,648,34.61,20823,0.63,0.37
13,3,0,1,4,173,2.81,617,0.2,0.8
22399
14,1,3,20,15,322,10.56,959,0.57,0.43
14,2,41,189,113,648,34.61,20823,0.63,0.37
14,3,0,1,4,173,2.81,617,0.2,0.8
22399


500,1,70,53,156,81,77.5,9175,0.25,0.75
500,2,248,455,111,177,82.14,70153,0.8,0.2
500,3,8,63,17,90,49.44,11680,0.79,0.21
91008
510,1,72,53,155,80,77.78,9254,0.25,0.75
510,2,267,441,112,171,82.74,70400,0.8,0.2
510,3,10,63,20,85,52.25,12020,0.76,0.24
91674
520,1,76,45,161,78,78.33,9676,0.22,0.78
520,2,276,440,105,170,82.85,71779,0.81,0.19
520,3,11,60,19,88,50.56,11794,0.76,0.24
93249
530,1,72,49,158,81,77.5,9357,0.24,0.76
530,2,286,428,102,175,82.34,71516,0.81,0.19
530,3,12,54,17,95,46.63,10978,0.76,0.24
91851
540,1,73,49,154,84,76.67,9327,0.24,0.76
540,2,283,435,102,171,82.74,71812,0.81,0.19
540,3,11,53,17,97,45.51,10545,0.76,0.24
91684
550,1,68,49,157,86,76.11,9195,0.24,0.76
550,2,287,436,100,168,83.05,72356,0.81,0.19
550,3,10,56,19,93,47.75,10898,0.75,0.25
92449
560,1,73,54,155,78,78.33,9264,0.26,0.74
560,2,281,445,93,172,82.64,72842,0.83,0.17
560,3,10,53,16,99,44.38,10486,0.77,0.23
92592
570,1,82,51,142,85,76.39,9265,0.26,0.74
570,2,292,447,94,158,84.06,74185,0.83,0.17
570,3,8,55,12,103,42.13,10609,0.82,0.18
94059
580,1,82,49,142,87,75.83,9223,0.26,0.74
580,2,289,449,101,152,84.66,73845,0.82,0.18
580,3,4,58,17,99,44.38,10165,0.77,0.23
93233
590,1,84,48,141,87,75.83,9316,0.25,0.75
590,2,302,441,97,151,84.76,74566,0.82,0.18
590,3,2,56,15,105,41.01,9378,0.79,0.21
93260
600,1,80,52,143,85,76.39,9193,0.27,0.73
600,2,297,451,94,149,84.96,75219,0.83,0.17
600,3,4,49,14,111,37.64,8647,0.78,0.22
93059
610,1,87,45,142,86,76.11,9576,0.24,0.76
610,2,296,449,96,150,84.86,74808,0.82,0.18
610,3,5,44,7,122,31.46,8438,0.86,0.14
92822
620,1,87,46,142,85,76.39,9566,0.24,0.76
620,2,300,445,101,145,85.37,74379,0.82,0.18
620,3,3,45,7,123,30.9,8366,0.87,0.13
92311
630,1,83,53,143,81,77.5,9482,0.27,0.73
630,2,299,437,102,153,84.56,73475,0.81,0.19
630,3,4,43,13,118,33.71,7658,0.77,0.23
90615
640,1,78,51,150,81,77.5,9491,0.25,0.75
640,2,287,443,97,164,83.45,72806,0.82,0.18
640,3,5,36,13,124,30.34,6702,0.73,0.27
88999
650,1,84,49,144,83,76.94,9566,0.25,0.75
650,2,287,434,101,169,82.95,71691,0.81,0.19
650,3,5,30,12,131,26.4,5578,0.71,0.29
86835
660,1,84,48,143,85,76.39,9543,0.25,0.75
660,2,289,429,100,173,82.54,71164,0.81,0.19
660,3,3,35,12,128,28.09,6010,0.74,0.26
86717
670,1,81,49,142,88,75.56,9328,0.26,0.74
670,2,287,424,96,184,81.43,70149,0.82,0.18
670,3,2,31,9,136,23.6,5345,0.78,0.23
84822
680,1,81,50,139,90,75.0,9221,0.26,0.74
680,2,280,441,81,189,80.93,71923,0.84,0.16
680,3,4,25,10,139,21.91,4709,0.71,0.29
85853
690,1,81,52,133,94,73.89,9051,0.28,0.72
690,2,272,439,84,196,80.22,70469,0.84,0.16
690,3,4,21,4,149,16.29,4310,0.84,0.16
83830
700,1,78,55,134,93,74.17,8922,0.29,0.71
700,2,248,460,80,203,79.52,70364,0.85,0.15
700,3,3,21,3,151,15.17,4165,0.88,0.12
83451
710,1,78,55,132,95,73.61,8803,0.29,0.71
710,2,234,459,72,226,77.19,68591,0.86,0.14
710,3,1,18,3,156,12.36,3190,0.86,0.14
80584
720,1,80,53,129,98,72.78,8803,0.29,0.71
720,2,226,442,73,250,74.77,65476,0.86,0.14
720,3,0,14,0,164,7.87,2685,1.0,0.0
76964
730,1,74,57,130,99,72.5,8593,0.3,0.7
730,2,228,427,88,248,74.97,62929,0.83,0.17
730,3,0,13,0,165,7.3,2482,1.0,0.0
74004
740,1,69,56,137,98,72.78,8634,0.29,0.71
740,2,204,429,84,274,72.35,60817,0.84,0.16
740,3,0,8,1,169,5.06,1427,0.89,0.11
70878
750,1,70,57,126,107,70.28,8267,0.31,0.69
750,2,189,410,87,305,69.22,56926,0.82,0.18
750,3,0,4,1,173,2.81,710,0.8,0.2
65903
760,1,59,65,127,109,69.72,7761,0.34,0.66
760,2,164,406,91,330,66.7,53817,0.82,0.18
760,3,0,5,0,173,2.81,945,1.0,0.0
62523
770,1,54,58,127,121,66.39,7389,0.31,0.69
770,2,154,383,84,370,62.66,50388,0.82,0.18
770,3,0,1,0,177,0.56,165,1.0,0.0
57942
780,1,49,65,115,131,63.61,6833,0.36,0.64
780,2,134,379,80,398,59.84,47979,0.83,0.17
780,3,0,2,0,176,1.12,356,1.0,0.0
55168
790,1,44,66,91,159,55.83,5914,0.42,0.58
790,2,120,359,78,434,56.21,44328,0.82,0.18
790,3,0,0,0,178,0.0,0,0.5,0.5
50242
