param, dataset_number, both, eng, snum, wrong, correct_rate, score
"(160, 45, 0, 10)",1,50,5,281,24,93.33,15318,0.02,0.98
"(160, 45, 0, 10)",2,265,8,658,60,93.95,100308,0.01,0.99
"(160, 45, 0, 10)",3,24,0,148,6,96.63,34819,0.0,1.0
150445
"(160, 45, 0, 20)",1,49,1,298,12,96.67,16264,0.0,1.0
"(160, 45, 0, 20)",2,264,3,688,36,96.37,103179,0.0,1.0
"(160, 45, 0, 20)",3,23,0,139,16,91.01,32345,0.0,1.0
151788
"(160, 45, 0, 30)",1,50,1,297,12,96.67,16264,0.0,1.0
"(160, 45, 0, 30)",2,262,4,669,56,94.35,99997,0.01,0.99
"(160, 45, 0, 30)",3,13,2,119,44,75.28,25107,0.02,0.98
141368
"(160, 45, 0, 40)",1,47,1,300,12,96.67,16263,0.0,1.0
"(160, 45, 0, 40)",2,192,28,562,209,78.91,75280,0.05,0.95
"(160, 45, 0, 40)",3,4,5,81,88,50.56,15784,0.06,0.94
107327
"(165, 45, 0, 10)",1,51,3,281,25,93.06,15382,0.01,0.99
"(165, 45, 0, 10)",2,277,15,645,54,94.55,99277,0.02,0.98
"(165, 45, 0, 10)",3,27,1,144,6,96.63,34521,0.01,0.99
149180
"(165, 45, 0, 20)",1,54,1,293,12,96.67,16263,0.0,1.0
"(165, 45, 0, 20)",2,280,2,673,36,96.37,103450,0.0,1.0
"(165, 45, 0, 20)",3,20,2,138,18,89.89,31029,0.01,0.99
150742
"(165, 45, 0, 30)",1,47,1,300,12,96.67,16263,0.0,1.0
"(165, 45, 0, 30)",2,261,4,671,55,94.45,100070,0.01,0.99
"(165, 45, 0, 30)",3,11,3,122,42,76.4,25230,0.02,0.98
141563
"(165, 45, 0, 40)",1,49,1,298,12,96.67,16263,0.0,1.0
"(165, 45, 0, 40)",2,201,28,552,210,78.81,75207,0.05,0.95
"(165, 45, 0, 40)",3,4,7,82,85,52.25,15691,0.08,0.92
107161
"(170, 45, 0, 10)",1,53,3,287,17,95.28,15896,0.01,0.99
"(170, 45, 0, 10)",2,299,6,647,39,96.06,102259,0.01,0.99
"(170, 45, 0, 10)",3,23,7,113,35,80.34,26825,0.06,0.94
144980
"(170, 45, 0, 20)",1,52,0,293,15,95.83,16295,0.0,1.0
"(170, 45, 0, 20)",2,280,8,652,51,94.85,100609,0.01,0.99
"(170, 45, 0, 20)",3,23,2,122,31,82.58,28796,0.02,0.98
145700
"(170, 45, 0, 30)",1,49,1,298,12,96.67,16264,0.0,1.0
"(170, 45, 0, 30)",2,264,5,660,62,93.74,98863,0.01,0.99
"(170, 45, 0, 30)",3,17,4,115,42,76.4,24936,0.03,0.97
140063
"(170, 45, 0, 40)",1,55,1,292,12,96.67,16264,0.0,1.0
"(170, 45, 0, 40)",2,196,31,559,205,79.31,75227,0.05,0.95
"(170, 45, 0, 40)",3,3,6,82,87,51.12,15590,0.07,0.93
107081
"(175, 45, 0, 10)",1,45,11,236,68,81.11,13221,0.04,0.96
"(175, 45, 0, 10)",2,271,34,577,109,89.0,90140,0.06,0.94
"(175, 45, 0, 10)",3,23,9,103,43,75.84,24793,0.08,0.92
128154
"(175, 45, 0, 20)",1,54,0,292,14,96.11,16256,0.0,1.0
"(175, 45, 0, 20)",2,291,11,626,63,93.64,98756,0.02,0.98
"(175, 45, 0, 20)",3,21,2,115,40,77.53,26833,0.02,0.98
141845
"(175, 45, 0, 30)",1,46,1,301,12,96.67,16264,0.0,1.0
"(175, 45, 0, 30)",2,262,4,654,71,92.84,97993,0.01,0.99
"(175, 45, 0, 30)",3,14,4,117,43,75.84,24665,0.03,0.97
138922
"(175, 45, 0, 40)",1,49,1,298,12,96.67,16263,0.0,1.0
"(175, 45, 0, 40)",2,186,30,569,206,79.21,75317,0.05,0.95
"(175, 45, 0, 40)",3,3,7,81,87,51.12,15286,0.08,0.92
106866
