param, dataset_number, both, eng, snum, wrong, correct_rate, score, weighted_eng, weighted_snum
"(-5, 0.9)",1,0,9,42,309,14.17,1876,0.18,0.82
"(-5, 0.9)",2,25,97,142,727,26.64,16443,0.41,0.59
"(-5, 0.9)",3,6,13,42,117,34.27,8252,0.24,0.76
26571
"(-4, 0.9)",1,4,9,55,292,18.89,2688,0.14,0.86
"(-4, 0.9)",2,38,74,204,675,31.89,23883,0.27,0.73
"(-4, 0.9)",3,6,8,73,91,48.88,14450,0.1,0.9
41021
"(-3, 0.9)",1,7,9,120,224,37.78,5982,0.07,0.93
"(-3, 0.9)",2,47,46,328,570,42.48,38950,0.12,0.88
"(-3, 0.9)",3,14,4,92,68,61.8,20010,0.04,0.96
64942
"(-2, 0.9)",1,5,22,51,282,21.67,2261,0.3,0.7
"(-2, 0.9)",2,34,73,234,650,34.41,26711,0.24,0.76
"(-2, 0.9)",3,17,5,93,63,64.61,20826,0.05,0.95
49798
"(-1, 0.9)",1,6,25,43,286,20.56,2199,0.37,0.63
"(-1, 0.9)",2,43,96,238,614,38.04,27320,0.29,0.71
"(-1, 0.9)",3,13,11,85,69,61.24,17781,0.11,0.89
47300
"(0, 0.9)",1,7,75,13,265,26.39,3509,0.85,0.15
"(0, 0.9)",2,46,144,204,597,39.76,25180,0.41,0.59
"(0, 0.9)",3,14,5,82,77,56.74,18573,0.06,0.94
47262
"(1, 0.9)",1,6,106,18,230,36.11,4752,0.85,0.15
"(1, 0.9)",2,43,117,242,589,40.57,27098,0.33,0.67
"(1, 0.9)",3,6,4,93,75,57.87,18687,0.04,0.96
50537
"(2, 0.9)",1,10,102,9,239,33.61,5122,0.92,0.08
"(2, 0.9)",2,28,107,216,640,35.42,22984,0.33,0.67
"(2, 0.9)",3,6,3,75,94,47.19,15463,0.04,0.96
43569
"(3, 0.9)",1,4,92,5,259,28.06,4742,0.95,0.05
"(3, 0.9)",2,13,115,102,761,23.21,13951,0.53,0.47
"(3, 0.9)",3,7,6,70,95,46.63,13830,0.08,0.92
32523
"(4, 0.9)",1,28,33,108,191,46.94,6193,0.23,0.77
"(4, 0.9)",2,65,29,592,305,69.22,67211,0.05,0.95
"(4, 0.9)",3,12,10,51,105,41.01,10981,0.16,0.84
84385
"(5, 0.9)",1,0,26,3,331,8.06,1237,0.9,0.1
"(5, 0.9)",2,0,63,2,926,6.56,7286,0.97,0.03
"(5, 0.9)",3,6,14,52,106,40.45,9613,0.21,0.79
18136
"(-5, 0.8)",1,0,1,59,300,16.67,3211,0.02,0.98
"(-5, 0.8)",2,1,10,143,837,15.54,14230,0.07,0.93
"(-5, 0.8)",3,1,1,50,126,29.21,10409,0.02,0.98
27850
"(-4, 0.8)",1,0,4,7,349,3.06,194,0.36,0.64
"(-4, 0.8)",2,2,7,108,874,11.81,13800,0.06,0.94
"(-4, 0.8)",3,4,4,91,79,55.62,18076,0.04,0.96
32070
"(-3, 0.8)",1,0,1,7,352,2.22,337,0.12,0.88
"(-3, 0.8)",2,1,2,155,833,15.94,20702,0.01,0.99
"(-3, 0.8)",3,8,1,116,53,70.22,24214,0.01,0.99
45253
"(-2, 0.8)",1,0,4,16,340,5.56,685,0.2,0.8
"(-2, 0.8)",2,5,13,169,804,18.87,21976,0.07,0.93
"(-2, 0.8)",3,7,5,119,47,73.6,24124,0.04,0.96
46785
"(-1, 0.8)",1,1,3,19,337,6.39,737,0.14,0.86
"(-1, 0.8)",2,9,15,182,785,20.79,23262,0.08,0.92
