param, dataset_number, both, eng, snum, wrong, correct_rate, score, weighted_eng, weighted_snum
1,1,15,38,53,254,29.44,3004,0.42,0.58
1,2,88,202,210,491,50.45,31390,0.49,0.51
1,3,5,16,37,120,32.58,7113,0.3,0.7
41507
3,1,18,38,71,233,35.28,3738,0.35,0.65
3,2,140,150,338,363,63.37,46706,0.31,0.69
3,3,9,21,35,113,36.52,7428,0.38,0.62
57872
5,1,24,34,114,188,47.78,5428,0.23,0.77
5,2,203,95,490,203,79.52,66979,0.16,0.84
5,3,6,17,35,120,32.58,6702,0.33,0.67
79109
7,1,27,29,151,153,57.5,6976,0.16,0.84
7,2,238,68,519,166,83.25,75619,0.12,0.88
7,3,3,18,36,121,32.02,6479,0.33,0.67
89074
9,1,35,22,169,134,62.78,8432,0.12,0.88
9,2,219,75,509,188,81.03,71137,0.13,0.87
9,3,4,20,24,130,26.97,5238,0.45,0.55
84807
11,1,41,17,167,135,62.5,8704,0.09,0.91
11,2,223,71,504,193,80.52,71921,0.12,0.88
11,3,5,17,33,123,30.9,6132,0.34,0.66
86757
13,1,44,11,242,63,82.5,12678,0.04,0.96
13,2,222,70,519,180,81.84,72619,0.12,0.88
13,3,9,14,32,123,30.9,6863,0.3,0.7
92160
15,1,53,5,274,28,92.22,15116,0.02,0.98
15,2,241,64,511,175,82.34,74436,0.11,0.89
15,3,6,11,39,122,31.46,7431,0.22,0.78
96983
17,1,51,5,276,28,92.22,15107,0.02,0.98
17,2,241,67,530,153,84.56,75814,0.11,0.89
17,3,10,12,36,120,32.58,7725,0.25,0.75
98646
19,1,52,3,276,29,91.94,15351,0.01,0.99
19,2,246,56,526,163,83.55,76733,0.1,0.9
19,3,9,14,37,118,33.71,7589,0.27,0.73
99673
21,1,55,6,272,27,92.5,15132,0.02,0.98
21,2,243,57,534,157,84.16,77208,0.1,0.9
21,3,7,14,38,119,33.15,7496,0.27,0.73
99836
