solver_number, dataset_number, time
1,1,63.79427
1,2,172.82666
1,3,31.67132
2,1,118.40347
2,2,327.80537
2,3,58.34914
1,1,65.58802
1,2,175.82029
1,3,32.16643
2,1,121.21109
2,2,334.58358
2,3,61.11743
1,1,63.91909
1,2,174.25984
1,3,32.2014
2,1,119.9832
2,2,329.4505
2,3,59.28182
1,1,63.42454
1,2,174.00156
1,3,31.77745
2,1,119.16109
2,2,327.79352
2,3,59.25279
1,1,62.97553
1,2,173.30935
1,3,32.11462
2,1,119.1411
2,2,328.15152
2,3,58.9604
1,1,63.02186
1,2,173.42722
1,3,31.84264
2,1,119.03523
2,2,327.72784
2,3,58.88841
1,1,63.84113
1,2,173.30707
1,3,31.62058
2,1,118.89828
2,2,324.95065
2,3,58.73586
1,1,62.68693
1,2,171.68289
1,3,31.92953
2,1,118.86952
2,2,324.73424
2,3,58.52046
1,1,62.92398
1,2,172.82128
1,3,31.87852
2,1,118.6847
2,2,328.29115
2,3,58.74901
1,1,63.63508
1,2,173.4852
1,3,31.88379
2,1,119.14425
2,2,326.83417
2,3,60.49593
1,1,63.08584
1,2,172.55639
1,3,31.66301
2,1,118.30474
2,2,325.29789
2,3,58.91009
1,1,62.15253
1,2,171.48599
1,3,31.45543
2,1,118.3814
2,2,325.61018
2,3,58.84455
1,1,62.79209
1,2,171.62616
1,3,31.9849
2,1,118.59757
2,2,326.4362
2,3,59.18068
1,1,63.31609
1,2,173.69319
1,3,31.70802
2,1,119.06483
2,2,325.69386
2,3,58.83284
1,1,62.83146
1,2,172.938
1,3,32.6486
2,1,118.90685
2,2,326.90216
2,3,58.70473
1,1,63.17464
1,2,172.70425
1,3,31.87665
2,1,118.43908
2,2,326.78173
2,3,58.69375
1,1,63.25757
1,2,173.07073
1,3,31.78503
2,1,118.92538
2,2,326.35228
2,3,58.74283
1,1,62.97771
1,2,172.79852
1,3,31.83303
2,1,119.15226
2,2,328.91559
2,3,58.94176
1,1,62.93619
1,2,173.49127
1,3,32.15968
2,1,118.9101
2,2,327.79834
2,3,58.94611
1,1,63.06968
1,2,173.23477
1,3,31.96345
2,1,118.82215
2,2,326.81286
2,3,58.88252
1,1,63.00411
1,2,173.03193
1,3,31.84306
2,1,118.77198
2,2,325.06284
2,3,59.53668
1,1,63.22207
1,2,173.13659
1,3,31.85566
2,1,118.70776
2,2,326.11775
2,3,58.93707
1,1,62.9606
1,2,173.48046
1,3,31.79417
2,1,117.55408
2,2,326.54971
2,3,58.96793
1,1,63.16495
1,2,173.39723
1,3,31.95657
2,1,118.88747
2,2,328.2003
2,3,58.92632
1,1,62.81418
1,2,172.74629
1,3,31.90783
2,1,119.21708
2,2,326.18882
2,3,58.74719
1,1,62.91531
1,2,173.98119
1,3,31.96348
2,1,119.03747
2,2,327.58435
2,3,58.65235
1,1,62.90923
1,2,173.36017
1,3,31.91892
2,1,118.99834
2,2,327.96469
2,3,58.68236
